gene study_attention
SCG3 7
KLC3 70
IL11RA 2
GDF1 1
CLEC4G 27
OR2AG1 1
MIGA1 14
SLCO2A1 1
AKAP13 15
TNKS 41
FRMD4A 4
TMED9 30
ERH 47
SLC12A9 16
ACY1 23
PARL 11
PDCD11 40
KCNS2 2
FEZ1 58
RALBP1 78
GTF2A2 6
WRAP73 96
EDIL3 8
TCP11 12
MYOC 6
CHRAC1 8
RBM12B 11
PCDH9 6
MAP3K21 13
BROX 8
DVL2 105
C9orf43 3
UBE2W 76
S1PR5 9
FAM160A2 5
AFF2 4
ETV6 20
ND6 4
ZNF649 4
CFAP20 32
ZFP42 4
ADPGK 28
MXI1 19
H1-10 46
ZC3HAV1 126
ATP6V1C1 18
B4GALNT3 2
GTF2E2 84
COL9A1 6
RNF220 10
PLS3 28
TNPO3 66
ATAD3C 8
MDH2 30
FAAP100 28
SMCR8 16
WDR33 38
REXO4 31
TXN 67
LUZP2 3
PTPDC1 16
CRACD 6
L2HGDH 15
TRAF3IP1 127
YWHAB 452
KRT76 51
TDRD12 1
ZKSCAN5 4
WDR91 11
PLEKHB2 60
YIPF4 45
ZNF513 2
OTUD7A 1
ADAMTS3 1
ZNHIT2 21
XKR4 2
SLC25A43 5
TACR1 46
RACGAP1 73
GPBP1L1 46
B4GAT1 43
NDUFB9 32
TUBA1C 169
CASTOR2 1
BORCS8-MEF2B 8
PKN1 79
MYO9A 19
ISG20L2 18
NIN 109
YTHDF3 23
ORM2 2
LMBR1 33
SLC25A51 12
UNKL 28
TPST1 5
MC4R 13
KRT10 32
AP2A2 44
TAZ 67
CYP2C8 10
RBM4B 41
SLC36A2 1
OR6B1 3
PLTP 22
SMOC2 1
SLC30A9 7
ZNF567 3
GNL3 54
PPP1R1B 5
ATP2A2 58
ERP44 52
IL24 20
ACTN3 54
TP63 75
TLNRD1 5
EMP2 1
TMEM25 57
DGCR2 2
KMT2C 17
SARDH 1
DAAM1 30
ACSM3 1
UBE2E2 48
STXBP2 13
BLMH 39
KCNF1 9
SHOC2 10
NEDD8 250
NKX2-5 14
GRAP2 66
CFP 46
SZT2 19
BCLAF1 70
DIP2C 1
FAM53C 16
MFSD2A 2
GALT 8
IRAG2 2
CSDC2 5
ARRDC4 4
HOOK3 25
IL20RA 33
BNC2 3
TMC6 5
PIK3C2A 50
RGPD2 5
WWP1 33
MGAT4B 6
RBBP8NL 10
DPH6 9
ELAPOR2 1
ANGPTL8 1
CHRM2 14
FEM1A 17
KRTAP4-12 81
OFD1 251
ACTN1 80
TRPC5 3
SGCA 12
RABAC1 65
C10orf71 6
POC1A 92
NUDT8 8
CNOT11 40
UBE3B 4
TMCO6 6
MS4A2 1
SPRED1 38
RNFT2 1
MAGI3 18
WNT16 11
VMP1 93
FBXL16 6
DRC7 3
XIAP 83
PCDH19 3
CTTNBP2NL 33
PROSER2 32
PCLAF 4
S1PR2 24
COPS7A 59
CCDC81 3
RRAS 27
KCND3 1
DDC 1
ADD1 36
CFAP52 9
EXOSC1 62
RPL22L1 13
PRPS1 37
XPNPEP3 37
ABCC8 3
S100A16 6
EPC1 31
UTP3 24
MYO15A 4
BCL11B 9
EIPR1 43
AFDN 43
H2BC15 2
TFB2M 11
YY1AP1 22
ADGRE5 49
ZNF559 6
SSNA1 22
GSTO2 16
RGS17 36
TMPRSS5 2
IFI44 3
OSR2 3
HIPK2 21
RPP14 25
CHD9 17
CLDN1 8
DDAH1 12
HEXA 13
GPR6 2
CENPI 11
GDPD2 5
PRPF40A 113
WNT7A 29
HIP1 37
HSD11B1 6
ZNF705D 1
CBL 82
TIAL1 56
COMTD1 48
TMC1 4
SMIM19 5
TRIM43 19
CENPS 4
MPDU1 9
LILRB5 1
PDGFRA 25
SAPCD1 12
PRLHR 3
C3 39
SFN 164
FEN1 43
MAST1 36
TPR 37
ZNF844 12
PER2 9
CCL25 8
URI1 47
TBC1D17 18
SDHAF4 11
MEPCE 33
ZNF324B 77
ADAM28 1
C1orf226 7
PRAMEF15 1
STK4 165
NCOA5 30
PHF8 35
PREPL 34
IGF2R 29
IGFBP2 2
HNRNPAB 65
CISD2 88
BCORL1 16
SLA 11
SLC25A41 63
FAM149A 1
SGPL1 67
TEPSIN 144
ANO10 4
