gene study_attention
ASAP2 19
NSMCE4A 23
CIB1 26
EEF1AKMT3 5
DCD 39
HSD3B1 4
LAIR2 5
FGL2 12
TESC 16
CDH12 1
TARS1 30
CFTR 612
ODF3L2 6
CARS1 11
ACTR1A 34
SMIM4 1
SPTAN1 92
RFX1 20
FAXDC2 30
CALM3 5
GPI 13
FBP2 22
BCL2L11 42
BZW2 32
CYCS 34
CYP27A1 5
FOXD3 19
RBM26 34
SNX21 31
NDUFB4 26
SPOCK1 3
ARHGAP45 11
ST8SIA5 2
ZHX1 47
PHLPP2 22
MYO1D 52
ZNF398 24
CNOT2 68
MED8 38
HNRNPM 91
ELOVL5 22
FOXP1 36
MUC5B 9
NTAN1 1
NPIPA1 1
KCTD7 39
HS1BP3 7
KRTAP10-10 20
CD1D 1
PSMA6 76
MAGIX 18
ITPK1 5
C11orf65 9
FOXK2 116
CFAP300 5
CSMD3 1
ABT1 27
PARPBP 1
BIRC6 35
ALDH8A1 3
GALNT8 1
HAPLN1 2
DCTN3 35
PRH1 3
RND3 7
NXPH4 1
SOD2 39
GGTLC1 1
TGM2 34
CASC3 44
TAF5 19
STON1 1
ZNF620 70
TOP1 80
CKMT2 10
B3GALNT2 8
DGAT2L6 40
OCRL 169
SLC37A4 4
KLHL9 13
DIS3L 20
ADAMTS13 2
CNPY3 27
RNPC3 11
PSPC1 29
VIM 195
MKI67 442
NAT8B 1
CD69 18
APCS 6
SLC1A7 1
LDOC1 91
CKAP4 82
RFTN1 10
PLPP5 2
LCNL1 2
RFESD 1
SNAP25 15
ANKRD39 3
CCDC183 25
PRPF40B 5
ANKRD13D 17
USP14 38
NMNAT1 37
SNX24 20
CCDC122 4
MTHFD2 21
ENPP1 10
POGZ 95
RAI2 11
RECQL4 16
CD83 42
TM7SF2 4
PLEKHA2 20
CDK19 69
ARHGAP31 3
UNC45A 70
ST13 28
MYH6 26
P2RY8 17
HACD4 1
PTK6 31
LYZL2 54
NRDE2 13
CEP120 92
TGIF1 13
FRMPD4 10
C2orf15 1
QARS1 118
PDSS1 8
ZNF440 25
TPRKB 8
TAPT1 7
PLEKHM1 10
BIK 90
PDZRN4 1
FBLN5 20
DPEP2 16
RASGEF1C 2
STIP1 100
PDZD2 2
PASK 41
DEFB116 1
SDHB 45
NDUFB7 53
PARP9 2
PDCD1LG2 21
WDR1 29
KIAA1586 3
AGAP2 2
UPK3BL1 18
SMARCB1 184
ZEB2 20
OR6C70 1
ZNF501 4
AFMID 4
TMPRSS12 16
CCNB1 57
APOBEC3A 4
CST4 31
SLC35A3 2
CD3E 21
TIRAP 33
SLC30A2 64
CCT5 131
SP110 14
TTYH3 21
PGAP1 10
BMP2 14
CSTF2 57
GOLM2 3
LPXN 50
F2RL2 7
UNK 5
PSMD3 60
TIMP1 11
ICAM1 40
RHD 7
DDX3X 96
EEF2 82
DCAF8 42
PPME1 17
TSPY4 2
TMC4 2
COL15A1 2
EPHB2 9
ANKAR 1
DNAJC15 5
MCM2 63
CATSPER1 106
XRN1 51
TMEM69 2
BRF1 6
EGR2 4
DEFB108B 3
AMDHD2 3
SMIM5 7
LYST 12
CDC42EP4 18
TREX2 7
CDH4 2
SPAG8 80
IGF2BP1 78
ZNF502 1
IL11 4
C14orf119 52
BCO1 2
CDCA3 31
MRPL28 79
CXCL11 22
RNF133 2
TUSC2 7
SLC17A7 2
CACFD1 8
HMGN1 8
IRAK3 7
UFM1 14
UNC5B 9
ADAMTS20 2
KCNMB1 1
SFRP2 13
ARHGEF15 3
SDR9C7 12
NDUFV2 43
SPRR1B 9
STAM2 32
AFF3 3
UGT2B11 2
ZNF777 18
MED7 39
YTHDF1 55
SIM2 24
RAVER2 4
ARHGAP21 38
KDM2A 17
OSTM1 7
ZCCHC2 1
BEX5 15
CACNG5 39
CLDN20 6
LSR 34
SLC35G2 14
NAXE 3
COPE 27
ESPNL 3
RBBP9 2
PDHA2 7
SF1 158
ZNF532 4
SIAE 31
BDH2 11
HES1 11
ZNF836 1
NELFB 33
PPIF 24
IRF2 74
FUT4 1
POPDC3 1
LAMTOR3 27
GRK7 1
AGA 6
SHCBP1 23
DEPDC7 5
BEGAIN 35
CARTPT 3
JUND 31
SHISA5 9
SLCO1C1 2
LCN2 71
RRM2B 18
RFX3 14
PABPC3 13
ECRG4 1
MSRB2 5
LAMTOR4 17
DEFB1 10
RBMS3 5
NUDT1 20
KCNA1 13
FABP5 18
ZNF224 11
GNAQ 38
HTR3C 42
TEX19 4
CCDC7 3
SPDYA 6
OBSCN 18
PACRGL 12
KRTAP5-8 3
GRAP 6
LINS1 1
U2AF1L4 2
TGFBR1 18
RAP1GDS1 47
APOA1 61
TMEM268 3
PTCD3 71
NUDT3 38
KCNA6 5
IQSEC2 4
IGFBP6 39
PRPSAP1 26
DLG5 32
ANGEL1 11
STRN4 78
TXNDC11 31
SLC6A5 10
GORASP1 46
TRIM48 1
NLRC5 2
IER5 11
PIGT 37
RAB14 23
ZNF740 7
KCTD11 4
CUL2 369
SCP2 13
MLIP 2
TMUB2 28
PIK3CB 32
APOOL 37
KCNH7 2
GPR52 13
SLC25A33 3
LCE1E 53
LZTR1 13
CD82 16
BRINP3 16
CCL15 1
WDR61 27
RAB2B 37
NIPAL4 15
WDR46 6
TMEM225 1
GNPTAB 18
YTHDC1 39
MIIP 32
KCNE5 4
ITIH4 4
XPNPEP1 16
ARFIP1 25
RPS8 131
SLC16A9 3
C20orf203 2
ANKS6 26
KRT23 3
GUCA1C 2
TICRR 3
HIRA 27
FAM189A2 58
GCNT1 19
ARHGEF26 8
NTRK2 5
IFNA10 3
EEFSEC 5
FRZB 9
ACTG2 5
SEC24D 16
VASP 36
PDLIM7 151
MYO5A 40
COL18A1 25
GTF2I 53
SEMA4B 1
SBF1 22
NXF1 132
PNPLA4 3
SLAMF1 59
KLHL36 19
BAIAP3 2
COP1 45
LONP1 60
CCDC9 24
XXYLT1 5
RNF4 107
SRGAP2C 3
GOLGB1 34
RCOR2 11
KLRD1 2
BRD2 31
RNF167 27
ANKFY1 27
JAM2 4
GPX3 1
USP30 33
ZNF789 1
SULT1C4 1
MANF 10
SSTR2 2
A4GALT 4
FHL1 36
PRXL2B 8
SAFB 36
DDX31 93
BMP15 5
AMBP 5
SIPA1L1 29
MAP7 31
ADAP1 10
SEC61G 9
CPA6 11
CHRNA5 8
TMPRSS3 30
SPEG 4
HOXC13 19
PPM1A 62
SGCG 16
MAPT 547
MGAT4A 1
KMT2B 50
CCDC180 1
BMP5 4
CCK 2
IDO2 11
PLXNB2 24
DNAJB1 53
EML5 3
ARSB 11
SLC7A1 105
SSX5 6
ART5 1
GNA13 21
UBR4 69
C1QTNF6 6
ANGPTL3 7
NOC3L 33
ACP1 21
KRT17 20
DOCK5 67
COL3A1 8
ULK2 51
ZNF70 7
ULK3 13
INPP5K 37
NXPE3 11
RIT1 15
CHMP4A 25
ZCCHC13 6
SLC39A9 78
MYOT 8
SNX8 21
USH1G 20
PSMD12 55
YES1 109
CANT1 13
HIVEP2 11
CELF5 30
SELENOK 31
KPNB1 163
SRPRB 89
TOP3A 33
LOXL2 26
CLBA1 1
ATPAF2 86
PIK3C3 24
DNMBP 13
PRSS38 1
BEND4 1
RBMX 87
RTN4R 9
GNG11 8
MINDY3 29
ST8SIA1 8
SCYL1 18
ALKAL1 2
EFCC1 1
COL5A2 1
MAGEA10 40
NUP93 59
TMEM119 1
DLD 330
ICMT 15
ADSS2 13
PTTG2 6
ZNF616 2
MRPL51 20
SNX11 25
CUL1 521
MMS19 39
C2orf49 6
ALDH1A2 4
B4GALT3 22
LZTFL1 24
KIAA0895L 1
KRTAP10-7 265
GPHN 16
GET4 46
WNT8A 1
RTCA 31
BAG3 115
STIM2 18
TRIP10 35
STEAP1 2
LPIN3 10
DPP4 1
PHKB 13
ZNF624 12
IFNA8 9
PCDHA4 39
INAVA 43
BCAS2 76
COLGALT1 10
PPIP5K2 13
SAMD13 1
ZNF195 8
GLI4 4
H2BC21 23
IFTAP 9
SELE 10
FGFRL1 21
RPP30 28
NNT 20
TCEA3 2
NPBWR1 1
SPATA46 13
ABL2 36
ANKRD2 1
PAX5 40
KIF1B 48
FBXO6 46
ABCB5 1
NOL8 24
SRRT 46
ATG10 18
AACS 1
CLEC4D 4
SEC61B 25
RALGPS1 1
PTRHD1 4
SNAPC3 12
KIRREL2 7
QKI 49
PPP1R37 13
ALG5 9
FAM111B 7
SERPIND1 2
IGBP1 30
PEF1 47
YBEY 57
CHST1 2
TRPC4AP 37
RIDA 11
MLLT6 35
ZNF283 1
SLC5A4 4
ACSM2B 2
GNS 16
OSTC 16
CT45A10 6
FUOM 15
FBXO7 56
PNPT1 22
PLPP4 34
C19orf73 3
CYP4X1 1
IGFL2 4
ZBTB16 99
ATP6AP1 23
TAP1 42
ARHGEF1 18
PACSIN3 44
TRAF2 371
NCOA2 17
SMS 21
STAG2 32
FBXO32 5
MACIR 16
ZHX3 5
FNDC4 11
SPATA12 10
RBM33 17
RABL2B 3
SDC3 3
SLC4A2 21
MRPS31 75
C8orf34 2
ZKSCAN1 23
CD274 33
NRCAM 5
SSX7 6
MFN2 16
KRTAP5-6 76
ETV3 6
RBP1 6
DYNC2I2 22
XCL2 16
TMCO1 19
OR2G6 1
DENND1B 2
MEX3C 71
LYRM1 6
LGALSL 5
ERC1 44
ZNF628 4
SRSF7 47
TOB1 31
ETFRF1 19
IRX2 3
CDH1 72
BNIP5 4
RAD52 40
SPRR1A 3
TNFRSF10A 78
SFTA2 8
L3MBTL3 75
RCL1 10
TFIP11 238
SNX32 16
TRIP6 173
SP4 29
KRT222 3
HYAL3 5
TXLNB 78
VPS53 16
AP1G1 17
SOX7 4
PJA2 22
TAT 7
LYRM7 24
PSME3IP1 31
ARL5B 18
AGO2 187
HOPX 4
PMEL 49
CHCHD5 2
TAS2R60 3
SMG6 12
PLA2G12A 2
EVA1C 27
GJA4 6
DCK 7
SIGMAR1 7
C2CD2L 54
ACTR3C 4
ZG16 10
EPAS1 26
RAD51C 21
PCDHB13 1
PSG4 5
LMAN2L 34
ELAVL2 102
MAEA 35
KCNK3 2
ING4 30
GAPDHS 50
IDH3G 8
PCDH1 11
DNLZ 18
MEST 22
RHCG 15
PAPPA2 3
P4HA2 76
H4C9 117
NRBP1 20
ZNF774 76
DBNL 22
CYP20A1 3
NOG 2
CHRDL1 6
MT1F 1
TAF13 8
COL9A3 1
AP5M1 5
CDK20 27
PMPCB 53
LRRC4B 4
CDK17 29
UCKL1 12
CDK11B 21
NAP1L1 109
KIAA0513 2
GNAO1 22
ZBTB32 3
OR51E1 1
VTCN1 1
RTTN 2
PIBF1 39
OR4A16 1
SLC20A2 14
DNM1L 205
CMTM4 27
CEP112 6
CAMK4 7
FAR2 11
FAM71C 18
HIC2 25
ZC3HC1 18
MTR 16
CCT4 143
MITF 9
SETBP1 9
KIAA1328 42
NPLOC4 30
TMEM132C 1
BARX1 4
HMMR 39
ANGPT1 2
SOD1 219
APOBEC3C 21
MSX1 2
SLCO4C1 1
TIMM29 31
DCLRE1B 15
COX6A1 16
NFYB 7
IDO1 2
ACAD10 16
TBC1D21 23
FAM185A 2
EFNB2 44
BOK 2
PRND 1
IQCF3 1
PALM3 6
EID2B 13
ZSCAN22 33
TMEM50B 21
CHP1 14
DNAJB6 57
CTCF 38
KATNIP 5
G6PC3 4
SPECC1 28
EMSY 31
MPZ 2
TMEM139 39
TTC23L 22
RAD23A 63
MCF2 3
RETN 6
AGAP9 1
KDM5C 40
TRIO 16
TSPYL1 32
NRXN1 5
PPIL2 19
DEFB104A 6
LPGAT1 12
SLC43A3 2
TRMT5 4
KLHL7 17
USP46 29
SLC25A13 56
H2BC13 21
CYSTM1 5
MOG 3
VAMP4 80
NPVF 5
SAP130 24
NSRP1 10
PLEKHO1 60
LRP2BP 19
DIDO1 14
CBX6 82
WDR17 1
BFAR 9
TST 4
OPRM1 119
PNN 94
EPB41 108
TFDP3 24
KIAA1549L 2
DNAJC5B 1
TAS2R5 6
MRPS11 79
GABRR1 1
PPP5C 63
CFAP73 1
TWF1 30
CSNK2B 188
NAPRT 7
TSPAN7 20
RB1CC1 82
ZNF485 2
FAM9C 10
LYRM2 15
DKK4 7
ATAD2B 1
ZCCHC7 23
ZNF273 5
FBXW8 27
ZNF160 2
CLDN8 10
ERCC3 48
SRC 210
ELK3 8
NCOA7 9
RPRM 81
PDE6D 24
EIF3G 44
COQ3 16
CD46 10
CISD1 10
DNAJB14 2
PPP1R32 70
CHPF2 4
POTEB2 4
MAPKAP1 22
MED24 40
PHETA2 8
C5orf22 6
PELI1 20
SYK 31
SEPTIN3 39
C1orf116 4
PLA2G4A 7
ZNF511 26
CAMKK2 24
HNF4G 1
XPA 40
RGS22 1
RAB15 4
SPINDOC 10
VPS28 79
ABLIM2 3
CORO2A 28
BBS1 45
CLEC11A 31
C8orf82 6
SLF2 13
SPRY1 74
HDAC8 17
FXYD3 61
SLC16A1 29
MTNR1B 131
CD27 26
TAF1C 24
UXT 60
FAM210B 67
CTDSPL 6
RPUSD3 23
BHMT 7
ADAMTSL3 13
ZFP3 1
CAMTA1 1
FCN2 5
SLC2A2 2
NDUFA5 56
MID2 235
CSDE1 33
POU2F2 6
LMAN1L 1
ARID4B 38
RET 25
PITHD1 8
BMP1 42
OVCA2 2
BICDL2 6
S100A13 12
MAN2B2 15
WFDC10A 2
MCEMP1 13
UNC5CL 19
LRRN3 2
KCNJ15 2
KLHL31 1
JPH1 50
BTN3A1 4
FKBP3 12
LACTB2 3
TGFBR2 39
FSTL4 4
ACOT2 13
HIF1AN 198
CHI3L2 2
H3-4 20
ANXA6 16
MRPL50 100
KAT2A 33
RSAD1 7
DCUN1D1 214
FAM163A 10
CCDC83 8
TEAD2 83
ANKRD23 19
BRICD5 39
TSSK4 1
ABI1 113
SLIRP 34
PSMA7 58
BMP6 1
ZSWIM7 5
TYW1 30
OSBP2 9
PDE6G 3
TBC1D19 8
SUSD4 35
C20orf27 5
EID1 19
PLPP6 54
PNMA3 15
UTP4 27
KLK9 10
PLA2G7 2
PQBP1 24
IPO11 32
UBE2E3 79
PXMP2 15
PROM2 2
PRSS23 36
CCNY 14
CYP4F12 5
DRD4 5
TYSND1 14
WNK2 8
RPTN 3
PSME1 41
IDI1 6
URM1 25
KCNK5 26
BCS1L 21
FPR1 3
ASIC2 2
RAVER1 20
CFL2 37
KLF8 4
PGPEP1 11
TXNDC17 9
PRDX4 28
SKAP2 11
GTF2H2 13
FETUB 6
PRLR 6
STARD13 13
PXYLP1 7
CCR4 30
MX1 19
HNRNPD 150
L1TD1 325
SMPD2 32
UGT1A8 9
UROC1 1
TELO2 37
CUTA 22
INTS8 9
SIT1 10
ATAD5 11
RWDD2A 4
CALML5 41
INKA2 4
OXLD1 34
KRTAP10-8 363
MRPL9 70
SIK3 14
OXT 7
BPIFA2 10
MEF2A 33
SH3TC1 1
CYP4F11 1
NLRP1 10
DRC1 1
HDAC3 89
RIPOR3 6
PARVG 32
NAV3 3
PTPRA 21
MAFG 15
SAMD8 1
SLC35B1 20
CD209 8
CCKAR 1
GOLGA6L9 213
SAMD9 5
DUSP1 9
G0S2 2
DDB2 43
WBP11 36
RPP25 34
LCN9 1
APP 503
BCL2L12 4
HSPA5 278
MAPK8 59
ZNF746 19
ROGDI 11
GPLD1 1
GSPT2 30
GRB14 8
ACR 3
SLC22A9 65
SSH3 17
AMIGO2 3
EIF2S1 41
KERA 14
RRP7A 28
FOXB1 126
C6orf201 2
CXCR4 29
ZNF365 5
PDZRN3 8
CCDC74B 29
MAST4 3
HIPK1 15
TIGD1 3
PEBP4 3
VSIG4 37
GLT1D1 3
CETN2 49
KDM1B 21
KCNIP3 13
FBXL4 34
PWP1 31
ATP11C 25
GPRC5A 13
EEF2K 9
ITPKC 3
CFAP251 1
ZNF416 6
BUB3 63
AGAP4 2
VWA3B 2
RPRD1B 51
HYAL2 21
PBX1 26
TIAF1 4
NFKBIB 70
EHMT1 34
EMC6 23
POTEC 9
SLC38A6 1
PCDHGC5 1
CASQ1 3
KYAT3 10
FAM222B 35
LMO3 102
ZNF358 4
SLC25A19 11
MAP4K4 26
PRKCI 59
LCE1A 62
PFDN2 75
LRPAP1 22
STK11IP 13
IFIT1B 7
RPL3L 3
RS1 3
KIF1A 43
STAP2 12
GSTM4 13
PPIC 9
CNOT7 43
CRLF3 24
SLC35G5 1
VPS4B 16
MAP3K5 42
SLC25A38 5
TUT7 16
TRMT1 29
YPEL5 26
CBWD5 22
LRATD1 2
SYT4 4
CD99 5
N4BP2 5
AGRP 8
HELB 7
CYP4F8 2
QTRT1 16
HR 24
ATP2C2 1
SGO2 43
KIN 2
ADSL 31
GRID1 4
ZNF121 20
MRPL41 59
TSPAN1 2
NCAPH 29
PALM 13
PIAS4 44
IRS1 25
GATM 3
IGF2BP2 40
C16orf71 24
MBOAT2 3
ZSCAN26 37
CLCNKA 23
PPP1R14C 2
CCDC50 13
ADM 1
HS6ST2 5
SLURP1 3
RGR 4
HAP1 71
RFPL2 11
POLR2D 33
ASAP3 17
HBG1 2
TP73 31
TUBB1 76
HEATR5B 10
TMPRSS15 1
FBXO46 11
SERPINB4 53
STATH 25
CAMK2D 131
BCDIN3D 3
CELF4 4
JPT2 8
RASSF8 43
P2RX5 24
GPR108 12
MTX2 32
MBLAC2 34
TMEM186 23
AQP7 6
ELP3 24
ZNF175 7
SNAP29 76
POMGNT1 18
TEF 1
APIP 28
ZBTB39 15
APBB1 154
DDX52 32
TGM4 2
ZNF613 5
GRIN2D 3
TRAF1 244
RNPS1 199
RNASE1 5
TRAPPC11 10
LYPD1 20
BTN2A2 60
RANBP3L 8
MRPS28 23
KRT38 66
EIF2D 5
FAM13A 17
RBMY1F 35
WDR90 15
SMAD7 26
SH3D19 7
ZNF557 10
PSTPIP1 83
RUSF1 78
TMEM14B 214
LAMP3 62
ORAI2 8
BCAR3 74
PIK3R2 58
KIR2DL2 2
NFIC 20
ERBB2 242
CCER1 7
CAMK2G 38
TOR3A 17
GXYLT2 8
GSG1L 2
ENG 11
CAMK1D 13
QPRT 43
XRN2 54
PSMC1 88
MTFR1L 17
EFCAB12 1
CSF2RA 2
C9orf152 1
NUP50 41
REST 11
P3H4 9
WNK4 5
RASSF4 6
H1-0 21
RPL14 101
CRB1 8
VTN 60
ATP5ME 34
ZAP70 13
TP53TG5 4
COL4A6 3
ALAS1 66
HYDIN 2
USP48 14
PRTFDC1 25
ZFAND5 7
RCAN1 17
DTYMK 6
ARHGDIB 4
YWHAE 180
AKAP4 1
LGALS9B 11
AFAP1L1 2
MTFR1 20
ZNF846 2
ATP5PD 55
KRT13 77
ALOX5 52
MARK2 70
CCSER1 7
TEAD1 18
GPC4 18
CNTN1 24
MC3R 2
SOCS7 17
AOC1 10
NR0B1 4
KCTD4 7
PRR19 8
SPOCD1 2
SEC24A 21
SMIM12 7
DERA 8
AIMP1 38
MMP10 14
CDKN1C 13
PDE4DIP 136
ELFN2 1
PDZK1 12
CNTLN 5
C5orf46 14
CHD1L 45
CLEC4C 4
PPIH 27
CDHR2 4
BTG2 6
CYP2J2 1
SVOPL 2
FKBP10 9
HAPLN2 41
ZNF446 63
SLFN12L 3
MYLPF 2
ANP32C 3
CD109 28
ZNF541 3
MEGF10 25
TRAM2 1
SAP25 1
LRRC18 3
ZBTB2 42
ZDHHC21 18
MDFI 336
ANG 122
APOBEC3G 6
TMSB4Y 1
TRIM2 27
RIPK1 55
MAU2 11
MED1 63
STXBP1 66
GSTT1 12
POLD3 6
SRPK3 57
C11orf68 13
CCDC110 4
ALDH3A1 10
SOX14 10
ABCC1 5
GAS2 1
STS 22
VAC14 116
NAE1 8
UBE2V2 28
TMEM199 40
ZBTB46 16
CCDC136 77
FAM210A 4
SLC13A4 24
HMGN4 5
HDAC2 158
CHMP2A 33
ECSCR 4
ESCO1 4
JTB 4
CSK 31
WRAP53 37
MGARP 3
CSKMT 6
COPS7B 52
KCND2 10
JCHAIN 22
CUBN 1
C16orf91 1
PPP1R18 97
EIF4G2 32
ATXN1 319
SLC2A5 19
PKD1L2 1
MCL1 38
ZNF214 12
DLX3 4
ATP5MG 31
HDAC6 117
CSHL1 1
FRMPD1 3
ABCG8 7
MBOAT7 40
UBE2H 50
LRP2 30
RIOK3 20
NUDT5 25
P4HA1 37
ACO1 11
CYP2C18 5
POFUT2 4
GAS1 1
ZNF395 2
RCC1L 18
GGN 16
ZNF69 11
RASEF 3
METTL18 7
FAM120C 8
PPP2R5E 49
USP34 21
BOLA1 31
FCRL2 6
PIP4P1 12
KIF11 92
ACMSD 4
LRRC31 2
BLOC1S5 17
FAM177A1 30
MED12L 15
TXNDC9 53
NHLRC3 3
MTO1 23
B3GLCT 12
ADCY4 5
CAMK2B 54
TMTC3 16
LRMDA 4
PLA2G2F 2
PTTG1IP 10
RPL29 37
ALPK3 1
METTL14 326
FAM90A1 164
RPS6KC1 9
SFXN5 30
FAM151B 1
SMAP2 30
POGLUT3 3
CBWD6 3
TSR2 24
GRIA1 2
ATG2B 24
CELF2 6
TBK1 112
AKR7A3 11
PCMT1 76
RAB1A 54
NEU1 23
EIF2B4 37
ATRNL1 3
LSM3 44
GNAI1 34
OTUD6A 12
PSMB1 149
MMP1 1
CCNO 5
LAMP1 318
NASP 36
LUZP1 61
NEDD9 43
TMCO4 3
SLC1A6 1
KPNA6 51
MYH2 10
RALYL 32
RASA4 5
DLG2 17
PIK3R1 191
SERPINB11 6
ADH1B 3
RHOXF1 1
PWWP3A 7
PTOV1 16
LILRB1 8
TM6SF1 1
ADAT3 5
DMBT1 15
NDUFV3 31
ZNF503 14
GPIHBP1 1
TMPRSS6 1
PAWR 17
PRKAB2 174
DSTN 23
CLGN 7
TK1 168
QPCT 20
DDAH2 38
SLFN12 5
RNASE9 1
MAMDC2 4
SMLR1 1
NAGS 1
FAM111A 6
TIMM10B 11
HSD17B10 182
RALB 17
ERI3 8
SERPINF1 9
ELK1 6
HBD 8
ZNF286A 22
SLC50A1 4
TRIM5 29
AQP4 4
MCF2L 7
FGGY 2
GPX1 11
CD244 32
TMEM222 40
MGAM 6
FBXL18 18
TMEM165 12
PAXX 7
PRKDC 120
TRIM34 6
TEX33 17
GDNF 10
LSM6 34
CYP2A7 2
SCLY 6
ADORA3 6
TANC1 10
SMPX 2
NKAPD1 120
PERP 2
EXO1 15
DOCK6 17
CRLF1 2
SLC7A14 42
NALCN 3
TPBGL 1
COLEC10 9
TRIM27 356
MED14 42
RGPD8 20
USF1 39
HASPIN 23
KCTD16 2
GNG8 1
NFIA 8
CTRL 7
TRUB2 38
C1orf122 8
WASHC1 7
PYCR3 18
PNO1 27
TTLL6 3
NFATC2IP 23
GPR45 5
MPZL3 2
ITK 16
MCCC1 28
CD226 3
KRTAP12-2 111
COL25A1 1
WDR5 145
KSR2 129
C16orf92 10
GBA3 1
DCAF12 15
HNRNPA1L2 18
SSTR1 1
LSM11 18
GJB5 38
CLK1 27
METAP1D 5
SMC6 52
IFT74 50
FMOD 2
MTDH 28
MMRN2 1
HOXC10 6
NRAS 49
BET1L 7
ZFPL1 82
GSC 2
ATPAF1 18
PIGH 3
DEFA1 86
CAP1 19
STK10 2
ZNF346 15
PNPO 10
NCR3 7
BRDT 1
DVL1 38
AKR1A1 4
MICB 7
PTGS1 1
SNRNP40 46
SLC5A6 3
DDIT4L 208
STAC3 40
ZNF830 18
ABLIM3 14
PPP2R3B 16
ASPRV1 9
STRBP 57
ZFP90 27
DEPDC5 21
RRP9 10
ITPRIP 23
SGK2 14
SLC18B1 1
ELOVL4 91
SLC24A5 3
ABI3BP 1
RBL2 28
TMOD3 74
OPCML 14
HECTD1 29
L3MBTL4 11
TLE1 65
H2BC18 4
LOC102724334 2
TNNI3K 8
MYBPHL 9
PIGQ 11
TAGLN2 33
HPD 2
CD59 21
DYNLRB1 24
GLTP 5
E2F3 128
RPA3 56
IL32 7
NEDD1 87
PIM2 18
TNNT1 58
OSGEP 32
TSPAN6 15
PADI3 18
PAX6 116
DUS4L 5
TMEM9 16
LYVE1 20
SETD1B 12
ANK3 29
RBM47 9
P2RY12 47
WTAP 122
SRRM2 79
SLC35F5 8
SPAG17 1
RNF166 45
CLVS2 17
CCRL2 5
C2 10
SLC35D3 2
KCNJ3 1
CXCL9 67
MX2 3
LCE4A 66
HDAC10 23
AJUBA 17
PLCD4 1
GAMT 5
CLU 119
PSORS1C2 26
PFKFB2 20
TRIM65 15
STPG2 3
NOX5 8
GAS8 111
TMEM70 30
NRARP 2
CLDND2 25
DPEP2NB 8
CENPO 29
DUSP4 15
CXorf56 13
AMBRA1 35
COX4I1 118
PRORP 18
AGER 19
ALDH18A1 30
GPR119 1
GLP1R 10
WFDC3 2
ZNF300 3
ZER1 21
PDCD2 12
RASGRP3 4
CFAP97D1 5
SPATA31A7 3
CHTOP 57
WDCP 44
GRWD1 27
SCG5 7
TUSC1 1
EPHA5 5
LGALS3BP 109
RPN1 65
EHD1 25
DUSP7 12
TAF12 23
NEXN 38
CYC1 19
VTA1 19
KCNE1 2
SMARCD3 27
CLDN19 62
NDRG3 3
NOXA1 48
ENAH 27
DIP2A 35
RYBP 47
ENPP4 10
SMNDC1 36
CTSH 16
KLC4 54
IFNL1 2
TENT4A 3
ATAD3A 199
NME8 4
DUSP12 13
ST8SIA3 11
LARP4 24
TBC1D15 45
LSAMP 6
TFAP2D 58
NIPSNAP2 51
HSF5 2
RFPL4A 3
MAPK6 390
IP6K2 9
MMD 19
CKS1B 67
MAOB 5
ARL6IP1 78
STRA8 6
FOCAD 5
ADAMTS18 3
AKR1C3 8
EMG1 23
NOL7 14
FCRL5 9
OR3A1 1
BOD1L1 28
ZNF679 3
CAPN1 34
RIPPLY1 41
SYT10 2
CAPNS1 22
GTF3C2 48
ILF2 130
SIX5 3
ALPP 41
TIE1 11
TNNT2 10
HOXB13 6
EFNB1 24
HIRIP3 7
ASL 5
ABCF1 27
HSPA9 149
MFSD8 21
CNDP2 9
ZKSCAN7 12
TDRD3 14
TP53INP1 13
CASP9 9
SOWAHB 1
LRRC57 4
PNRC2 16
SPRYD7 15
CALCRL 2
LRFN3 13
NKG7 43
GSTM1 7
CNIH3 25
HSBP1 29
DNM1 42
XKR3 1
HDHD3 15
SON 23
SLC52A1 9
IL1RN 6
MAL2 47
NUP85 33
C14orf93 1
HHATL 19
ARL6IP4 31
IGF2 10
FKBP14 24
RAF1 87
FAM47B 3
FAM171B 10
MAPK15 13
CACTIN 15
MFSD14B 70
SAXO1 45
SOHLH1 24
NR2F2 40
ANGPT4 1
DNAJB9 35
EDC3 41
ATP6V0D2 26
PLAU 6
C6orf47 6
LAPTM4B 37
AATF 29
REN 4
PTP4A3 104
DNAJC28 5
SPIN1 21
KLB 2
MAPK7 22
NIPBL 15
MEAF6 51
FGL1 60
RWDD2B 21
AKR1D1 7
C4orf46 9
RPS17 39
SMYD4 2
ND3 2
P3H1 31
CDAN1 6
AKIP1 5
TAFA5 1
HSD17B11 66
C8A 5
ZFY 6
RAI14 50
TAGLN 9
EFNA2 1
LIMK2 25
TPD52L3 9
MT1B 5
QRICH2 10
RBBP5 43
RASSF2 29
NDUFA4L2 17
NUP210 22
SMAD1 82
GAGE4 3
METTL7A 5
STARD10 2
ZFYVE16 11
CORO1C 47
CDH2 9
ALOX12B 17
TMEM207 9
BRINP1 14
STRADA 5
CAMTA2 6
KRT26 22
TBC1D16 5
DHCR7 17
ODF2 125
KCTD2 16
HEG1 3
ZSWIM9 7
ZNF547 10
PYURF 2
DAG1 63
ALKBH3 13
ZNF284 2
DESI2 10
CBS 19
VPS37B 31
VPS45 29
SPEF2 4
SCCPDH 37
GCN1 53
GPSM3 37
HSPA4L 34
NOD2 42
CTSZ 18
ARHGAP24 2
RCCD1 20
