bait_uniprot	bait_symbol	bait_usage
A8MUP2	CSKMT	1
A8MV65	VGLL3	1
A8MV81	HIGD1C	1
A8MVS5	C19orf38	1
A8MVW5	HEPACAM2	1
A8MW92	PHF20L1	4
A8MW95	BECN2	1
A8MWD9	SNRPGP15	1
A8MXD5	GRXCR1	1
A8MYP8	ODF3B	1
A8MYZ6	FOXO6	2
A8MZ59	LEUTX	1
A9QM74	KPNA7	1
A9UEZ6	NA	1
A9UF07	NA	1
A9UGY9	ATG5	1
A9UHW6	MIF4GD	3
B0B1U2	NA	1
B0FTY2	NA	1
B0LPE5	AKT1	1
B0UZZ8	NA	1
B0YJ76	DHFR	1
B0YJ81	HACD1	3
B1AHB0	MCM5	1
B1AHC3	PRR5-ARHGAP8	1
B1AK13	NA	1
B1ALG1	SMARCA2	1
B1APZ0	GNG4	1
B1AQ61	UBE4B	1
B2R4U6	NA	1
B2R550	NA	1
B2R6J3	NA	1
B2R7W0	NA	1
B2R886	UBTD2	1
B2R894	NA	1
B2R8T5	NA	1
B2R8Y4	NA	1
B2R9H7	NA	1
B2R9Y1	NA	1
B2RAB7	NA	1
B2RB89	PRKACB	1
B2RC52	KCNJ11	1
B2RC85	RSPH10B2	1
B2RDC9	NA	1
B2RDE6	NA	1
B2RDP1	NA	1
B2RDU6	MVK	1
B2RNN3	C1QTNF9B	1
B2RTY4	MYO9A	1
B2RU33	POTEC	1
B2RUY7	VWC2L	2
B2RUZ4	SMIM1	1
B2RV13	CFAP97D1	1
B2RWN4	NA	1
B2RWP4	TACC2	1
B2RXF5	ZBTB42	2
B2RXH8	HNRNPCL2	1
B2Y833	NA	1
B3KM70	NA	1
B3KPL7	NA	1
B3KPU6	PTCD2	1
B3KQG4	CILK1	1
B3KSH4	UBE2K	1
B3KSW4	RGS20	1
B3KTP4	APOL6	1
B3KTQ9	P4HB	1
B3KTT5	HSPA1A	2
B3KUN1	PPP2CA	1
B3KV54	RAD54L2	1
B3KW44	METTL8	1
B3KWQ7	NA	1
B3KX63	NA	1
B3SHH9	TMEM114	1
B4DE54	BANP	1
B4DE84	NA	1
B4DHB6	NA	1
B4DJ51	CALM1	1
B4DLN1	NA	1
B4DNA4	NA	1
B4DP61	SMN2	1
B4DR88	DHX40	1
B4DUB1	CDK19	1
B4DYC6	SUGT1	1
B5MC10	MPV17	1
B5MC51	LIMK2	1
B7Z207	NA	1
B7Z3H4	BTRC	1
B7Z3K1	TMEM128	1
B7Z613	GPM6B	1
B7ZBD5	RABL2A	1
B7ZBJ6	CAB39L	1
B7ZLI8	STK19	2
B7ZLP7	NA	1
B7ZLY0	NA	1
B7ZMN2	XKR3	1
B8A4K4	CYSRT1	1
B8Q183	NA	1
B9A025	LOXL3	1
B9A064	IGLL5	1
B9EK46	NA	1
C0H5X0	MMP28	1
C0H5X2	NA	1
C1K0Y5	NA	1
C3PTT6	NA	2
C6GKH1	IL32	1
C9E8W1	NA	1
C9J3G1	CHN1	1
C9J6V4	ARHGAP26	1
C9JCN9	HSBP1L1	1
C9JE40	PATL2	1
C9JG97	AAMP	1
C9JJ79	PILRA	2
C9JRZ8	AKR1B15	1
C9JYL6	RET	1
D2IYK1	NA	1
D2IYK5	NA	1
D3DR40	NA	1
D3DR86	NA	2
D3DTR7	NA	1
D3DTS7	NA	1
D3DU92	RNPS1	1
D3DUQ6	NA	1
D3DWK9	NA	1
D6R9G5	KLHL2	1
D6RA96	NA	1
D6RAP2	TLR1	1
D6RF84	FAM153B	1
D6RGH6	MCIDAS	1
D6RGY6	SLC45A2	1
D9YZU9	HBG2	1
E2PSM9	NA	1
